initial_training_observations,evaluation_view,model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,mae,rmse,smape,mase,forecast_count,mae_rank,rmse_rank,smape_rank,mase_rank
25,high_volatility,chen_pct_change_equal_k7_w025,Chen FTS Percentage Change Correction Equal Intervals k=7 w025,fuzzy_time_series,equal_length,1,7,forecast_target=percentage_change;k=7;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.25,baseline_naive,0.07997924106948746,0.08283369589291979,21.22845350063489,2.6786642796137974,10,41,33,39,40
25,high_volatility,chen_pct_change_adaptive_k11_w075,Chen FTS Percentage Change Correction Adaptive Intervals k=11 w075,fuzzy_time_series,adaptive_quantile,1,11,forecast_target=percentage_change;k=11;correction_weight=0.75;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.75,baseline_naive,0.08052165290764644,0.08998022593108215,21.314424762511514,2.7281364691981485,10,42,50,42,45
25,high_volatility,chen_change_equal_k11_w025,Chen FTS Absolute Change Correction Equal Intervals k=11 w025,fuzzy_time_series,equal_length,1,11,forecast_target=absolute_change;k=11;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.25,baseline_naive,0.0805646806925,0.08280837305884833,21.260645848006757,2.6702999868970796,10,43,32,40,39
25,high_volatility,chen_pct_change_equal_k7_w050,Chen FTS Percentage Change Correction Equal Intervals k=7 w050,fuzzy_time_series,equal_length,1,7,forecast_target=percentage_change;k=7;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.08073847413897492,0.08520192635550135,21.468696970312557,2.716590403549019,10,44,39,45,44
25,high_volatility,chen_pct_change_equal_k7_w075,Chen FTS Percentage Change Correction Equal Intervals k=7 w075,fuzzy_time_series,equal_length,1,7,forecast_target=percentage_change;k=7;correction_weight=0.75;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.75,baseline_naive,0.08149770720846239,0.08833172155926314,21.764676805950693,2.754516527484242,10,45,48,47,48
25,high_volatility,chen_change_equal_k11_w050,Chen FTS Absolute Change Correction Equal Intervals k=11 w050,fuzzy_time_series,equal_length,1,11,forecast_target=absolute_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.08190935338499998,0.08619116493738865,21.519066384630804,2.699861818115585,10,46,44,46,42
25,high_volatility,chen_pct_change_equal_k7_w100,Chen FTS Percentage Change Correction Equal Intervals k=7 w100,fuzzy_time_series,equal_length,1,7,forecast_target=percentage_change;k=7;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.08225694027794984,0.09214551270726891,22.12035777736861,2.7924426514194627,10,47,53,51,51
25,high_volatility,chen_pct_change_equal_k9_w025,Chen FTS Percentage Change Correction Equal Intervals k=9 w025,fuzzy_time_series,equal_length,1,9,forecast_target=percentage_change;k=9;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.25,baseline_naive,0.0822698335021433,0.08616116152601631,21.956937151198044,2.7590734104349592,10,48,43,49,49
25,high_volatility,chen_pct_change_adaptive_k7_w100,Chen FTS Percentage Change Correction Adaptive Intervals k=7 w100,fuzzy_time_series,adaptive_quantile,1,7,forecast_target=percentage_change;k=7;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.08245875493601969,0.08805420009471988,21.44885176733069,2.742317832863558,10,49,47,44,47
25,high_volatility,chen_change_equal_k9_w025,Chen FTS Absolute Change Correction Equal Intervals k=9 w025,fuzzy_time_series,equal_length,1,9,forecast_target=absolute_change;k=9;correction_weight=0.25;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.25,baseline_naive,0.08302146298334401,0.08482651318424356,22.047609048671042,2.7713151947817694,10,50,37,50,50
