initial_training_observations,evaluation_view,model_id,model_name,model_family,interval_strategy,fuzzy_order,interval_count,parameter_setting,forecast_target,correction_weight,anchor_model_id,mae,rmse,smape,mase,forecast_count,mae_rank,rmse_rank,smape_rank,mase_rank
25,high_volatility,chen_pct_change_equal_k9_w050,Chen FTS Percentage Change Correction Equal Intervals k=9 w050,fuzzy_time_series,equal_length,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.08531965900428663,0.09232162803420073,22.973335641619308,2.8774086651913446,10,39,35,40,40
25,high_volatility,chen_change_equal_k11_w100,Chen FTS Absolute Change Correction Equal Intervals k=11 w100,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=absolute_change;k=11;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.08647870677,0.09768133740156917,22.596239725298766,2.8289031228515733,10,40,39,38,37
25,high_volatility,chen_change_equal_k9_w050,Chen FTS Absolute Change Correction Equal Intervals k=9 w050,fuzzy_time_series,equal_length,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,0.5,baseline_naive,0.08682291796668802,0.08970772644089926,23.112512394363854,2.901892233884964,10,41,31,41,42
25,high_volatility,chen_order2_adaptive_k9,Chen FTS Order 2 Adaptive Intervals k=9,fuzzy_time_series,adaptive_quantile,2.0,9.0,k=9;quantiles=training_window;fuzzy_order=2;defuzzification=frequency_weighted_midpoint,yield_level,,,0.08759482450925926,0.1057977304527428,23.676218657753537,2.89912397327106,10,42,45,42,41
25,high_volatility,chen_equal_k5,Chen FTS Equal Intervals k=5,fuzzy_time_series,equal_length,1.0,5.0,k=5;margin_fraction=0.05;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,yield_level,,,0.08848128579380951,0.10203642736791309,24.041080628490285,2.933996393688602,10,43,43,43,43
25,high_volatility,chen_change_equal_k9_w100,Chen FTS Absolute Change Correction Equal Intervals k=9 w100,fuzzy_time_series,equal_length,1.0,9.0,forecast_target=absolute_change;k=9;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,absolute_change,1.0,baseline_naive,0.09442582793337606,0.10269622083309432,25.43477575816066,3.1630463120913523,10,44,44,45,44
25,high_volatility,chen_pct_change_equal_k11_w050,Chen FTS Percentage Change Correction Equal Intervals k=11 w050,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=0.5;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,0.5,baseline_naive,0.09495713121515106,0.10072321787107405,25.189758441670488,3.1767024680574836,10,45,41,44,45
25,high_volatility,chen_pct_change_equal_k9_w100,Chen FTS Percentage Change Correction Equal Intervals k=9 w100,fuzzy_time_series,equal_length,1.0,9.0,forecast_target=percentage_change;k=9;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.09912637222435047,0.10759036833943479,27.07473583255243,3.346241418361546,10,46,46,46,46
25,high_volatility,chen_pct_change_equal_k11_w100,Chen FTS Percentage Change Correction Equal Intervals k=11 w100,fuzzy_time_series,equal_length,1.0,11.0,forecast_target=percentage_change;k=11;correction_weight=1;anchor=baseline_naive;fuzzy_order=1;defuzzification=frequency_weighted_midpoint,percentage_change,1.0,baseline_naive,0.11069425443030215,0.12380238993549572,29.515933059744363,3.712666780436392,10,47,47,47,47
25,high_volatility,baseline_mean,Mean,baseline,none,,,expanding_window_mean,yield_level,,,0.11688763873913736,0.1335363206647765,33.3632950311464,3.861250277473257,10,48,48,48,48
25,normal_volatility,baseline_naive,Naive,baseline,none,,,previous_observation,yield_level,,,0.016951729310344825,0.023042798848216674,4.45848743410257,0.5298881067755464,29,1,3,1,1
